node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,lyr,cus_set
161,depot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1133.8979507320694,0.0,0.0,1,Int64[]
2,bus stop,-4.78043,-0.67462,5.816622798741742,77.76057031678491,0.0,78.26057031678491,26.739429683215093,2,2,77.76057031678491,101.67371354452328,0.5,26.73942968321509,1,"[186, 205]"
6,bus stop,-3.38043,-2.07462,80.64599078343832,80.64599078343832,0.0,81.14599078343832,23.85400921656168,5,3,80.02956289480689,103.1863752632046,0.5,24.470437105193113,1,"[162, 181, 200]"
11,bus stop,-1.98043,-3.47462,83.53141125009174,83.53141125009174,0.0,84.03141125009174,20.968588749908264,10,5,81.95640838138031,104.4709389209202,0.5,22.543591618619686,1,"[167, 191, 194, 196, 201]"
18,bus stop,-0.58043,-2.07462,86.41683171674515,86.41683171674515,0.0,86.91683171674515,18.08316828325485,14,4,85.01462350898622,106.50974900599081,0.5,19.485376491013778,1,"[168, 173, 177, 210]"
23,bus stop,0.81957,-3.47462,89.30225218339856,89.30225218339856,0.0,89.80225218339856,15.197747816601435,17,3,86.7602940679187,107.67352937861246,0.5,17.739705932081307,1,"[170, 182, 203]"
35,bus stop,3.61957,-3.47462,93.17574615930218,95.74676853903142,0.0,96.24676853903142,8.753231460968578,20,3,91.37015280854713,110.74676853903142,0.5,13.129847191452873,1,"[176, 198, 199]"
79,transit stop,10.0,0.0,105.0,105.0,0.0,105.0,0.0,17,-3,105.0,120.0,0.0,13.129847191452873,1,Int64[]
79,transit stop,10.0,0.0,105.0,105.0,0.0,105.0,0.0,14,-3,105.0,120.0,0.0,17.739705932081307,1,Int64[]
79,transit stop,10.0,0.0,105.0,105.0,0.0,105.0,0.0,11,-3,105.0,120.0,0.0,24.470437105193113,1,Int64[]
79,transit stop,10.0,0.0,105.0,105.0,0.0,105.0,0.0,7,-4,105.0,120.0,0.0,19.485376491013778,1,Int64[]
79,transit stop,10.0,0.0,105.0,105.0,0.0,105.0,0.0,2,-5,105.0,120.0,0.0,22.543591618619686,1,Int64[]
79,transit stop,10.0,0.0,105.0,105.0,0.0,105.0,0.0,0,-2,105.0,120.0,0.0,26.73942968321509,1,Int64[]
147,bus stop,12.01957,3.52538,109.89503217607303,109.89503217607303,0.0,110.39503217607303,19.677892904948195,3,3,101.86281716289352,124.40854477526236,0.5,22.637182837106476,2,"[232, 248, 258]"
141,bus stop,10.61957,4.92538,112.78045264272644,112.78045264272644,0.0,113.28045264272644,16.79247243829478,4,1,103.34425417478747,125.39616944985832,0.5,21.155745825212527,2,[223]
140,bus stop,10.61957,3.52538,114.96719963067825,114.96719963067825,0.0,115.46719963067825,14.605725450342973,6,2,104.27812018993822,126.01874679329215,0.5,20.221879810061772,2,"[233, 238]"
136,bus stop,9.21957,3.52538,117.15394661863006,117.15394661863006,0.0,117.65394661863006,12.418978462391166,7,1,106.66156344825254,127.6077089655017,0.5,17.838436551747463,2,[253]
124,bus stop,6.41957,2.12538,121.42562754453331,121.42562754453331,0.0,121.92562754453331,8.147297536487912,8,1,112.27905369526812,131.3527024635121,0.5,12.220946304731882,2,[255]
157,transit stop,0.0,0.0,130.07292508102122,130.07292508102122,0.0,130.07292508102122,0.0,7,-1,125.0,140.0,0.0,12.220946304731882,2,Int64[]
157,transit stop,0.0,0.0,130.07292508102122,130.07292508102122,0.0,130.07292508102122,0.0,5,-2,125.0,140.0,0.0,20.221879810061772,2,Int64[]
157,transit stop,0.0,0.0,130.07292508102122,130.07292508102122,0.0,130.07292508102122,0.0,4,-1,125.0,140.0,0.0,21.155745825212527,2,Int64[]
157,transit stop,0.0,0.0,130.07292508102122,130.07292508102122,0.0,130.07292508102122,0.0,3,-1,125.0,140.0,0.0,17.838436551747463,2,Int64[]
157,transit stop,0.0,0.0,130.07292508102122,130.07292508102122,0.0,130.07292508102122,0.0,0,-3,125.0,140.0,0.0,22.637182837106476,2,Int64[]
161,depot,0.0,0.0,130.07292508102122,130.07292508102122,0.0,130.07292508102122,0.0,0,0,0.0,1133.8979507320694,0.0,0.0,1,Int64[]
