passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime
1,2.85902,4.64466,1,9
2,1.57357,-5.50857,1,5
3,-0.95924,2.36974,1,11
4,-5.65903,-1.02556,1,7
5,2.45544,4.19082,1,5
6,-1.88716,-1.40734,1,13
7,-0.27786,3.40178,1,12
8,-2.57951,-3.74879,1,8
9,-2.19126,-5.45566,1,9
10,-0.06853,-5.90002,1,8
11,-2.61948,0.84128,1,3
12,5.11493,2.97406,1,4
13,0.77422,5.82709,1,7
14,3.69216,-2.23593,1,3
15,3.11371,4.42315,1,11
16,1.21658,-2.35767,1,3
17,-3.94285,-0.9687,1,3
18,5.75643,-0.13983,1,3
19,4.74742,2.53949,1,3
20,-5.50739,2.07402,1,6
21,3.86994,3.06673,1,5
22,1.80582,-0.44077,1,13
23,5.55715,0.16186,1,6
24,0.90587,-5.74035,1,3
25,2.05838,-4.57388,1,12
26,3.57921,-3.87466,1,13
27,4.50926,2.64524,1,6
28,-3.18067,2.31754,1,2
29,-0.30597,4.92735,1,4
30,0.8767,-2.69425,1,6
31,-4.63987,2.13322,1,8
32,1.54341,-0.97069,1,4
33,1.41406,3.09784,1,8
34,-0.16903,1.94415,1,10
35,1.43477,1.86269,1,3
36,3.59699,4.13563,1,2
37,3.45389,-3.71095,1,4
38,-3.15696,-1.72793,1,5
39,-5.57319,-1.80543,1,6
40,1.13264,1.45934,1,7
41,2.4908,-3.29447,1,2
42,-2.80065,-2.69888,1,4
43,-3.14065,4.26878,1,11
44,-5.37465,-0.44847,1,1
45,-2.38594,1.69241,1,13
46,3.84919,1.9908,1,10
47,0.26327,4.14961,1,7
48,3.50509,3.43182,1,8
49,2.06468,4.68275,1,4
50,0.33216,5.25455,1,6
51,-2.95162,1.68931,1,13
52,4.77667,1.54058,1,8
53,4.04186,-2.83248,1,7
54,2.61603,-0.94578,1,4
55,-2.49911,0.14361,1,7
56,-4.35694,0.29466,1,9
57,-3.08218,5.01413,1,9
58,2.99934,-2.1776,1,6
59,-3.1948,3.43454,1,5
60,2.39739,2.014,1,13
61,0.99269,-5.15944,1,1
62,-2.53568,2.10471,1,12
63,0.2294,4.39015,1,12
64,-4.18499,2.88613,1,11
65,4.67246,3.23822,1,2
66,3.97465,4.33915,1,4
67,4.25336,-1.62095,1,5
68,2.53287,-0.71633,1,9
69,-2.40389,-1.22881,1,2
70,3.07711,1.21339,1,10
71,0.52841,5.50863,1,2
72,-1.98698,2.62373,1,9
73,2.3586,-4.91621,1,7
74,3.22044,0.31266,1,11
75,5.58709,1.54824,1,10
76,1.82736,3.27456,1,12
77,-1.76544,-2.40173,1,12
78,-0.37525,-3.25319,1,5
79,-2.87618,-3.84306,1,10
80,-4.06755,1.29558,1,3
81,-3.59475,-1.09376,1,1
82,-1.57928,5.27222,1,10
83,-0.15639,-4.68809,1,7
84,1.70684,4.22964,1,7
85,-2.22939,-5.31367,1,12
86,1.3994,3.15258,1,8
87,-3.57292,3.87811,1,9
88,-3.70629,-3.73521,1,12
89,0.73335,-3.81474,1,11
90,4.03926,2.25795,1,8
91,1.98084,-0.94146,1,3
92,0.32455,-1.99135,1,4
93,-4.47503,0.37224,1,12
94,-4.91487,2.09545,1,1
95,-5.48959,1.90715,1,7
96,-0.89301,2.41596,1,3
97,-4.62456,-0.24747,1,13
98,-4.24372,-0.28765,1,10
99,0.6713,-1.48359,1,7
100,1.02617,-3.54611,1,7
