cus,pickup_bus_node,drop_off_transit_node,ride_time,cus_walking_time
54,48,51,57.24414790568201,4.564614977869877
55,42,51,45.961132302949295,1.845490653150286
56,24,51,15.049693302465045,6.86698494654352
57,18,51,60.16270071817121,6.450605526148632
58,47,51,49.616262675154985,2.796290038468598
59,41,51,19.843056676004664,2.8606455583278083
60,13,51,22.42582348275451,3.8424291120291225
61,7,51,39.482058991342825,9.75469090527421
62,33,51,55.41715898059243,4.270823529411766
63,40,51,47.96252298557468,5.093715905908345
64,36,51,16.130336566464564,5.59687007193093
65,1,51,48.8362825294067,4.6254117647058814
66,3,51,60.0042071661193,9.13592128448263
67,17,51,42.383821845031775,10.057962244516103
68,19,51,55.21334854151803,6.423715783764769
69,28,51,15.445521975509592,11.491787341597407
70,26,51,29.329454504395613,4.16333555554881
71,15,51,59.60600257073568,6.323459178816574
72,10,51,53.024349816941,1.9420764402190624
73,43,51,61.66712927188428,2.354667114050942
74,44,51,49.78951191066426,3.631737047094543
75,21,51,7.390199038150911,7.702632655591828
76,49,51,56.87363301555931,10.920565637403138
77,14,51,53.58104796437652,10.229529809554661
78,6,51,50.919432905448474,5.6706092506322845
79,37,51,45.986406380318016,7.515370176233079
80,27,51,46.279613601758996,9.819623943637751
81,29,51,25.057773578492345,11.5782393370205
82,4,51,34.428474694794886,8.281593019950757
83,23,51,17.06696151300187,10.674005678836512
84,45,51,36.270380327914665,8.497901300038203
85,39,51,8.032193019919703,3.6444335237924954
86,11,51,33.0323637296396,5.7715860467301034
87,34,51,8.916206944652316,5.390138899546226
