node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,layer,cus_set
123,depot,-1.63139,1.31116,0.0,0.0,0.0,135.1358098132946,0.0,0,0,0.0,1254.0053878235026,0.0,0.0,2,Int64[]
204,dummy charger,0.0,0.0,137.6574749384041,137.6574749384041,0.0,140.45339209821284,0.0,0,0,137.6574749384041,1254.0053878235026,2.795917159808738,1254.0053878235026,0,Int64[]
117,bus stop,26.27528,2.06949,172.2083950401556,196.86749558708587,0.0,197.36749558708587,47.63250441291413,1,1,196.86749558708587,227.74499705805724,0.5,47.63250441291413,1,[142]
114,bus stop,24.87528,0.66949,199.75291605373928,199.75291605373928,0.0,200.25291605373928,44.747083946260716,2,1,199.52839580996462,229.51893053997642,0.5,44.97160419003538,1,[166]
101,bus stop,16.47528,-0.73051,210.51299743014593,214.696143311463,0.0,215.196143311463,29.803856688536996,3,1,214.696143311463,239.63076220764202,0.5,29.80385668853699,1,[161]
105,bus stop,17.87528,-3.53051,218.96782423736627,218.96782423736627,0.0,219.46782423736627,25.532175762633727,4,1,211.57121118808686,237.54747412539126,0.5,32.92878881191312,1,[165]
94,bus stop,13.67528,-4.93051,224.80178655572257,224.80178655572257,0.0,225.30178655572257,19.698213444277428,5,1,218.22838517561857,241.98559011707906,0.5,26.271614824381423,1,[197]
73,bus stop,5.27528,-3.53051,235.56186793212922,236.8521891120214,0.0,237.3521891120214,7.647810887978608,6,1,233.0282836680321,251.8521891120214,0.5,11.47171633196792,1,[157]
121,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,5,-1,245.0,260.0,0.0,11.47171633196792,1,Int64[]
121,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-1,245.0,260.0,0.0,29.80385668853699,1,Int64[]
121,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,26.271614824381423,1,Int64[]
121,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,32.92878881191312,1,Int64[]
121,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,47.63250441291413,1,Int64[]
121,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,44.97160419003538,1,Int64[]
123,depot,-1.63139,1.31116,247.5216651251095,247.5216651251095,0.0,247.5216651251095,0.0,0,0,0.0,1254.0053878235026,0.0,0.0,2,Int64[]
