passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime,DistanceFromStation
3,7.68456,-1.44581,1,13,7.81939039352324
4,0.79276,-6.83159,1,13,6.87742904304784
8,3.74173,-7.29411,1,13,8.19784329547828
9,5.02734,7.42411,1,13,8.96613217416378
10,-2.70265,3.66067,1,13,4.55025327760507
11,1.93346,6.68426,1,13,6.95828018431165
14,-2.209,-3.24755,1,13,3.92762739022963
16,-6.53656,-7.34245,1,13,9.83047514022759
17,4.80084,-6.78085,1,13,8.30831329311634
18,-8.72959,3.47124,1,13,9.39442670272117
19,1.66769,-4.13306,1,13,4.45683124903816
22,-3.55863,-1.60438,1,13,3.90357093174223
25,8.25154,-2.24071,1,13,8.55036072639395
26,-2.19032,-8.65277,1,13,8.92569205652084
33,-5.88639,-7.58066,1,13,9.59770919025049
34,3.10535,3.01099,1,13,4.32542028691493
35,4.36362,-2.30628,1,13,4.93559423837689
37,4.91897,-0.54446,1,13,4.94900742989417
38,4.64829,4.5984,1,13,6.53849014736669
39,-2.81588,4.9159,1,13,5.66526542294633
40,2.01024,2.91107,1,13,3.53771034633091
41,4.97615,-4.06436,1,13,6.42504154891282
46,-5.12283,-0.69665,1,13,5.16998322199813
47,6.26483,7.25145,1,13,9.58288013887346
48,0.3484,8.5123,1,13,8.51942355957571
52,-0.07497,-2.00397,1,13,2.00537315909883
55,-0.08105,9.58871,1,13,9.58905381722719
60,-5.252,2.25307,1,13,5.71487532870595
62,3.74353,-8.69553,1,13,9.46710976260713
63,-7.52322,-2.75912,1,13,8.01320863976637
66,-1.59376,-9.30515,1,13,9.44064806143097
71,-7.31766,-1.55682,1,13,7.48143290627372
72,4.86207,1.2742,1,13,5.02626350885577
74,-2.46016,2.17895,1,13,3.28637063410051
77,-1.6362,-5.86243,1,13,6.08647701871215
79,-2.21883,1.31799,1,13,2.58075844475486
82,2.69729,-5.03198,1,13,5.70930571113888
83,4.99272,-3.02902,1,13,5.83970775974247
86,9.22898,0.66139,1,13,9.25265022242155
93,-0.01833,2.53894,1,13,2.53900942825923
94,-4.53342,4.94848,1,13,6.71114024981064
98,3.0664,5.00674,1,13,5.87113608134497
99,-6.26339,-3.16554,1,13,7.01788213511585
100,-6.85637,5.16606,1,13,8.584753141291
102,4.82747,-2.61919,1,13,5.49223328255656
103,-0.49819,4.3267,1,13,4.35528741745798
104,4.63112,0.18641,1,13,4.63486945467002
