node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,layer,cus_set
194,depot,-0.69396,4.05902,0.0,0.0,0.0,48.85423602895404,0.0,0,0,0.0,1256.750641666591,0.0,0.0,2,Int64[]
322,dummy charger,0.0,0.0,53.815579387054655,53.815579387054655,0.0,54.59947918640236,0.0,0,0,53.815579387054655,1256.750641666591,0.7838997993477079,1256.750641666591,0,Int64[]
164,bus stop,26.7563,-28.86663,102.02074224355832,173.36810541426604,0.0,173.86810541426604,71.13189458573396,1,1,173.36810541426604,212.07873694284405,0.5,71.13189458573395,1,[204]
144,bus stop,16.9563,-21.86663,188.3780516478319,194.49277684913747,0.0,194.99277684913747,50.00722315086253,2,1,194.49277684913747,226.1618512327583,0.5,50.007223150862536,1,[208]
135,bus stop,11.3563,-24.66663,202.53613870094398,202.53613870094398,0.0,203.03613870094398,41.96386129905602,3,1,195.42422759862768,226.7828183990851,0.5,49.075772401372326,1,[240]
128,bus stop,8.5563,-21.86663,207.8069796342508,207.8069796342508,0.0,208.3069796342508,36.69302036574919,4,1,202.06436484749835,231.2095765649989,0.5,42.435635152501646,1,[270]
112,bus stop,4.3563,-19.06663,214.3886323880455,214.3886323880455,0.0,214.8886323880455,30.111367611954506,5,1,209.15429239605737,235.93619493070491,0.5,35.345707603942614,1,[256]
100,bus stop,1.5563,-7.86663,228.79790437808097,234.83843580553108,0.0,235.33843580553108,9.661564194468923,6,1,230.00765370829663,249.83843580553108,0.5,14.492346291703374,1,[228]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,5,-1,245.0,260.0,0.0,14.492346291703374,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-1,245.0,260.0,0.0,42.435635152501646,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,35.345707603942614,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,50.007223150862536,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,49.075772401372326,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,71.13189458573395,1,Int64[]
194,depot,-0.69396,4.05902,249.9613433581006,249.9613433581006,0.0,249.9613433581006,0.0,0,0,0.0,1256.750641666591,0.0,0.0,2,Int64[]
