node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,layer,cus_set
222,depot,-1.04511,-0.14729,0.0,0.0,0.0,29.185564475081822,0.0,0,0,0.0,1257.7376585040874,0.0,0.0,2,Int64[]
373,dummy charger,0.0,0.0,30.457176457268762,30.457176457268762,0.0,31.25233021981552,0.0,0,0,30.457176457268762,1257.7376585040874,0.7951537625467573,1257.7376585040874,0,Int64[]
119,bus stop,0.93023,29.22714,66.48358293251029,191.65312093095784,0.0,192.15312093095784,52.84687906904216,1,1,191.65312093095784,224.26874728730525,0.5,52.84687906904215,1,[235]
76,bus stop,-10.26977,25.02714,206.56469351342113,206.56469351342113,0.0,207.06469351342113,37.93530648657887,2,1,195.61033537082912,226.90689024721942,0.5,48.88966462917088,1,[293]
74,bus stop,-10.26977,18.02714,215.49842845318017,215.49842845318017,0.0,215.99842845318017,29.001571546819832,3,1,207.00507572022957,234.50338381348638,0.5,37.49492427977042,1,[339]
95,bus stop,-4.66977,13.82714,224.4321633929392,224.4321633929392,0.0,224.9321633929392,20.067836607060798,4,1,218.12457577024315,241.91638384682878,0.5,26.37542422975684,1,[284]
108,bus stop,-1.86977,5.42714,235.6000880296518,237.58409718391707,0.0,238.08409718391707,6.915902816082934,5,1,234.1261457758756,252.58409718391707,0.5,10.3738542241244,1,[254]
220,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-1,245.0,260.0,0.0,10.3738542241244,1,Int64[]
220,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,26.37542422975684,1,Int64[]
220,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,37.49492427977042,1,Int64[]
220,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,48.88966462917088,1,Int64[]
220,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,52.84687906904215,1,Int64[]
222,depot,-1.04511,-0.14729,246.27161198218695,246.27161198218695,0.0,246.27161198218695,0.0,0,0,0.0,1257.7376585040874,0.0,0.0,2,Int64[]
