node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,layer,cus_set
194,depot,-0.69396,4.05902,0.0,0.0,0.0,6.091951183495317,0.0,0,0,0.0,1256.750641666591,0.0,0.0,2,Int64[]
322,dummy charger,0.0,0.0,11.053294541595932,11.053294541595932,0.0,11.1703119899831,0.0,0,0,11.053294541595932,1256.750641666591,0.11701744838716799,1256.750641666591,0,Int64[]
119,bus stop,5.7563,-37.26663,56.602331223943956,176.35197114905873,0.0,176.85197114905873,68.14802885094127,1,1,176.35197114905873,214.06798076603914,0.5,68.14802885094129,1,[259]
93,bus stop,-1.2437,-27.46663,191.3619173826246,194.81065084575746,0.0,195.31065084575746,49.689349154242535,2,1,194.81065084575746,226.37376723050497,0.5,49.689349154242535,1,[250]
78,bus stop,-8.2437,-21.86663,206.11110136672852,214.71239674277186,0.0,215.21239674277186,29.78760325722814,3,1,202.26694726956714,231.34463151304476,0.5,42.233052730432846,1,[252]
81,bus stop,-5.4437,-20.46663,218.98407766867513,218.98407766867513,0.0,219.48407766867513,25.515922331324873,4,1,206.2261165030127,233.98407766867513,0.5,38.273883496987295,1,[301]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,42.233052730432846,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,38.273883496987295,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,49.689349154242535,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,68.14802885094129,1,Int64[]
194,depot,-0.69396,4.05902,249.9613433581006,249.9613433581006,0.0,249.9613433581006,0.0,0,0,0.0,1256.750641666591,0.0,0.0,2,Int64[]
