busType,maxPax,maxKWH,minSOC,maxSOC,SOC,consumption
1,10,35.8,10,80,20,0.24
1,10,35.8,10,80,23.5294117647059,0.24
1,10,35.8,10,80,27.0588235294118,0.24
1,10,35.8,10,80,30.5882352941176,0.24
1,10,35.8,10,80,34.1176470588235,0.24
1,10,35.8,10,80,37.6470588235294,0.24
1,10,35.8,10,80,41.1764705882353,0.24
1,10,35.8,10,80,44.7058823529412,0.24
1,10,35.8,10,80,48.2352941176471,0.24
1,10,35.8,10,80,51.7647058823529,0.24
1,10,35.8,10,80,55.2941176470588,0.24
1,10,35.8,10,80,58.8235294117647,0.24
1,10,35.8,10,80,62.3529411764706,0.24
1,10,35.8,10,80,65.8823529411765,0.24
1,10,35.8,10,80,69.4117647058823,0.24
1,10,35.8,10,80,72.9411764705882,0.24
1,10,35.8,10,80,76.4705882352941,0.24
1,10,35.8,10,80,80,0.24
2,20,53.7,10,80,20,0.29
2,20,53.7,10,80,27.5,0.29
2,20,53.7,10,80,35,0.29
2,20,53.7,10,80,42.5,0.29
2,20,53.7,10,80,50,0.29
2,20,53.7,10,80,57.5,0.29
2,20,53.7,10,80,65,0.29
2,20,53.7,10,80,72.5,0.29
2,20,53.7,10,80,80,0.29
