node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,lyr,cus_set
88,depot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1255.1408183085468,0.0,0.0,1,Int64[]
31,bus stop,-7.76342,25.91885,32.59826587035338,195.6026011944699,0.0,196.1026011944699,48.89739880553009,1,1,195.6026011944699,226.90173412964663,0.5,48.897398805530074,1,[129]
34,bus stop,-3.56342,28.71885,202.1842539482646,202.1842539482646,0.0,202.6842539482646,42.3157460517354,2,1,192.2004591998264,224.63363946655093,0.5,52.29954080017359,1,[109]
40,bus stop,0.63658,25.91885,208.76590670205928,208.76590670205928,0.0,209.26590670205928,35.73409329794072,3,1,197.64457918546094,228.26305279030728,0.5,46.855420814539066,1,[94]
38,bus stop,0.63658,17.51885,219.38638862977012,223.37902187474538,0.0,223.87902187474538,21.120978125254624,5,2,212.81853281211806,238.37902187474538,0.5,31.681467187881946,1,"[99, 118]"
86,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-2,245.0,260.0,0.0,31.681467187881946,1,Int64[]
86,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,46.855420814539066,1,Int64[]
86,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,48.897398805530074,1,Int64[]
86,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,52.29954080017359,1,Int64[]
88,depot,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,0,0.0,1255.1408183085468,0.0,0.0,1,Int64[]
