node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,lyr,cus_set
127,depot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1139.0524089130588,0.0,0.0,1,Int64[]
21,bus stop,0.68216,-1.79146,2.309570109537596,96.05169844934086,0.0,96.55169844934086,8.448301550659139,1,1,96.05169844934086,113.86779896622724,0.5,8.448301550659133,1,[148]
28,bus stop,2.08216,-1.79146,98.23844543729267,98.31222152945877,0.0,98.81222152945877,6.187778470541232,2,1,98.31222152945877,115.37481435297252,0.5,6.187778470541229,1,[153]
35,bus stop,3.48216,-1.79146,100.49896851741057,101.67106812334032,0.0,102.17106812334032,2.8289318766596807,4,2,100.25660218501048,116.67106812334032,0.5,4.243397814989517,1,"[142, 167]"
62,transit stop,5.0,0.0,105.0,105.0,0.0,105.0,0.0,2,-2,105.0,120.0,0.0,4.243397814989517,1,Int64[]
62,transit stop,5.0,0.0,105.0,105.0,0.0,105.0,0.0,1,-1,105.0,120.0,0.0,8.448301550659133,1,Int64[]
62,transit stop,5.0,0.0,105.0,105.0,0.0,105.0,0.0,0,-1,105.0,120.0,0.0,6.187778470541229,1,Int64[]
92,bus stop,2.08216,1.00854,108.71954526515441,120.31887398323896,0.0,120.81887398323896,4.181126016761041,1,1,120.31887398323896,136.71258265549264,0.5,4.181126016761035,2,[207]
85,bus stop,0.68216,1.00854,122.50562097119077,123.0330390434778,0.0,123.5330390434778,1.4669609565222004,5,4,122.2995585652167,138.0330390434778,0.5,2.2004414347832943,2,"[181, 185, 194, 223]"
123,transit stop,0.0,0.0,125.0,125.0,0.0,125.0,0.0,1,-4,125.0,140.0,0.0,2.2004414347832943,2,Int64[]
123,transit stop,0.0,0.0,125.0,125.0,0.0,125.0,0.0,0,-1,125.0,140.0,0.0,4.181126016761035,2,Int64[]
127,depot,0.0,0.0,125.0,125.0,0.0,125.0,0.0,0,0,0.0,1139.0524089130588,0.0,0.0,1,Int64[]
