node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,layer,cus_set
131,depot,-0.24944,0.86474,0.0,0.0,0.0,12.393989099641905,0.0,0,0,0.0,1251.8092535725605,0.0,0.0,2,Int64[]
212,dummy charger,0.0,0.0,13.478323491338005,13.478323491338005,0.0,15.790177072276212,0.0,0,0,13.478323491338005,1251.8092535725605,2.311853580938207,1251.8092535725605,0,Int64[]
13,bus stop,-31.49788,9.56005,55.44888584038752,185.01193684783306,0.0,185.51193684783306,59.488063152166944,1,1,185.01193684783306,219.8412912318887,0.5,59.48806315216696,1,[162]
28,bus stop,-23.09788,1.16005,199.82445964775354,202.70423064041708,0.0,203.20423064041708,41.79576935958292,2,1,202.70423064041708,231.63615376027806,0.5,41.79576935958292,1,[207]
34,bus stop,-18.89788,8.16005,213.03957118593928,213.03957118593928,0.0,213.53957118593928,31.46042881406072,3,1,207.29933149211394,234.69955432807595,0.5,37.200668507886064,1,[182]
50,bus stop,-6.29788,2.56005,230.15210241788452,236.30925357256055,0.0,236.80925357256055,8.19074642743945,4,1,232.2138803588408,251.30925357256055,0.5,12.28611964115919,1,[171]
129,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,12.28611964115919,1,Int64[]
129,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,37.200668507886064,1,Int64[]
129,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,41.79576935958292,1,Int64[]
129,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,59.48806315216696,1,Int64[]
131,depot,-0.24944,0.86474,246.0843343916961,246.0843343916961,0.0,246.0843343916961,0.0,0,0,0.0,1251.8092535725605,0.0,0.0,2,Int64[]
