passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime,DistanceFromStation
2,6.92113,-22.54679,1,13,23.5851612612195
7,-18.51219,-9.3466,1,13,20.7378882082693
8,15.97276,-13.29368,1,13,20.7810236454701
9,-21.17804,-26.331,1,13,33.7909872288154
10,26.43088,17.93731,1,13,31.9427403110577
11,-31.90716,2.75477,1,13,32.0258576048757
13,18.03456,-2.71955,1,13,18.2384531295604
14,-32.05369,-7.12775,1,13,32.8366279792064
20,-7.90249,24.0087,1,13,25.2758163901102
21,-10.77682,-12.45789,1,13,16.4723654230198
22,-6.5394,-30.15201,1,13,30.8529982340284
23,-20.58476,-0.9649,1,13,20.6073593345635
25,-26.017,-0.23816,1,13,26.0180947395715
26,13.57415,16.00732,1,13,20.9878935596278
27,-25.60503,-13.20086,1,13,28.8076406518816
29,-1.57954,-3.76757,1,13,4.08528021769064
32,20.88486,-18.26891,1,13,27.7476210092209
37,-19.05312,16.75883,1,13,25.3747835027172
41,18.17637,-27.79637,1,13,33.2117254096062
43,0.52442,-11.16823,1,13,11.1805400218931
52,13.98403,-2.78279,1,13,14.2582263000024
54,-13.68073,11.748,1,13,18.0326877680925
56,-16.82485,13.04735,1,13,21.2910552224232
59,-6.58065,-19.96074,1,13,21.0175210196927
61,3.82316,11.99177,1,13,12.5864637608218
63,-1.37986,-25.00261,1,13,25.0406528545864
66,29.77758,5.43401,1,13,30.26933646586
67,19.055,-8.26541,1,13,20.7704141916503
68,-19.87404,16.73713,1,13,25.9828575294854
71,-25.83198,9.44871,1,13,27.5058045359384
73,-17.28232,-24.26941,1,13,29.7940065522562
74,28.00777,8.02667,1,13,29.1352415294015
76,7.32447,-24.68534,1,13,25.7490534580805
78,-17.77334,0.83574,1,13,17.7929760307021
79,22.72272,-3.34181,1,13,22.9671411451028
85,-29.62913,16.31561,1,13,33.8243192432136
86,29.06861,-7.0107,1,13,29.9020734912845
88,9.11934,-14.42583,1,13,17.0665469913627
90,-1.04055,6.06716,1,13,6.15574381666584
91,29.60943,-4.06725,1,13,29.8874712760472
93,-4.13676,26.83197,1,13,27.1489824662112
98,-27.76144,-18.94874,1,13,33.6117840379757
99,15.06033,-19.50163,1,13,24.6399490670368
100,14.06073,-20.55968,1,13,24.9079209549077
101,10.7753,-11.03895,1,13,15.426132206547
102,-8.13326,-4.52767,1,13,9.30858620819666
105,7.57251,25.69577,1,13,26.7883427988803
107,-5.62694,-0.21153,1,13,5.63090962293516
109,-2.70854,-10.55827,1,13,10.9001537464702
111,-7.86683,-2.26389,1,13,8.18610117780112
112,22.16699,-20.67519,1,13,30.312361478598
113,-12.64883,4.87393,1,13,13.5553692434339
114,31.34675,-11.29903,1,13,33.3209639506805
116,9.51025,-17.74497,1,13,20.1327773286109
118,4.04027,9.10131,1,13,9.95778872508321
119,11.49704,-24.12652,1,13,26.7258445523104
121,7.47072,7.5218,1,13,10.6013711351439
124,-8.6713,-24.99742,1,13,26.4586949289278
127,26.46848,-4.20006,1,13,26.7996458795121
130,3.82892,21.79878,1,13,22.1324973026415
131,20.03739,10.96006,1,13,22.8389994264487
132,-7.06077,29.73577,1,13,30.5625681956584
135,1.34996,1.58145,1,13,2.07927325416935
138,-23.14922,16.30728,1,13,28.3163178672389
140,3.17868,-1.1412,1,13,3.37732990244943
141,-17.14596,16.23439,1,13,23.612271289382
142,24.10925,11.97407,1,13,26.9190297404518
143,7.15449,-8.78324,1,13,11.3283752801295
145,22.93358,1.32565,1,13,22.9718582443427
148,20.48306,-12.83971,1,13,24.1746590432311
150,-20.56149,24.82358,1,13,32.2332835636641
151,19.50032,16.44367,1,13,25.5079769441115
154,-8.37573,-18.95885,1,13,20.7265749497026
155,22.43871,18.67058,1,13,29.1905131704703
157,-8.67172,22.8058,1,13,24.3988365704161
159,11.28991,-20.20596,1,13,23.1461176531722
160,-23.17939,13.51384,1,13,26.8311042594898
161,-11.08742,24.11082,1,13,26.5379409885279
162,22.88805,-2.36829,1,13,23.0102532292141
163,25.39337,11.50963,1,13,27.8800114662657
164,-13.45616,-21.54607,1,13,25.4027888607227
165,-3.42608,24.05118,1,13,24.2939800767674
167,14.39309,-30.50827,1,13,33.7330033886517
169,-24.72194,-21.74614,1,13,32.9252055590209
172,-5.68086,-16.85849,1,13,17.7899119810024
174,3.73014,21.67046,1,13,21.9891537401019
175,28.21222,-10.23438,1,13,30.0111979668472
178,-30.73198,11.53818,1,13,32.8265738506229
180,-0.52754,-26.74659,1,13,26.7517935996454
182,2.72026,-3.60362,1,13,4.51507226045808
183,9.09085,-4.68575,1,13,10.2274087501193
184,-21.43976,24.96829,1,13,32.9101627491584
186,9.09493,18.84158,1,13,20.9218312567745
187,13.48942,-4.77272,1,13,14.3088541823736
190,-21.1683,8.82429,1,13,22.9339273055971
191,13.72957,19.30438,1,13,23.6888165636069
192,10.89818,-12.28379,1,13,16.421382401694
194,-0.70363,28.13472,1,13,28.1435176554692
197,-13.7686,-25.13314,1,13,28.6574486743779
203,-6.32289,-24.57169,1,13,25.3721624250719
204,17.84985,-13.41617,1,13,22.3295875875643
205,31.79174,-0.83167,1,13,31.802612364545
206,-17.49751,2.23382,1,13,17.639523927792
213,10.5889,-21.8337,1,13,24.2659281186754
214,15.9068,-14.64622,1,13,21.6226285748786
216,5.06532,4.95442,1,13,7.08545921791972
217,-12.28247,-31.2184,1,13,33.5476886476114
219,-19.59208,9.35695,1,13,21.71179487362
221,31.51725,10.33725,1,13,33.1692015030917
223,-19.7643,-17.86476,1,13,26.641643398098
226,0.65631,28.09998,1,13,28.1076442329277
227,-13.08326,-10.40536,1,13,16.7165566804009
229,-9.48513,-32.3876,1,13,33.7479496611081
231,2.41338,-21.49433,1,13,21.6293927171018
232,-0.00255,-4.97725,1,13,4.97725403920601
233,-13.36512,26.24575,1,13,29.4527735122133
235,-18.21553,-25.53171,1,13,31.3635779171415
238,29.08231,11.81401,1,13,31.3903101100427
241,9.91578,12.63495,1,13,16.0612753277798
245,-3.67051,-12.24663,1,13,12.7848558581594
248,11.67131,-8.23407,1,13,14.2835351342546
249,3.8335,-28.70603,1,13,28.9608656210853
251,-23.37982,-4.94433,1,13,23.8969127133849
252,-5.11379,-2.36591,1,13,5.63457243960638
253,3.28753,5.66321,1,13,6.54826550504642
254,22.06976,-25.14937,1,13,33.4599037724069
255,8.72693,-32.60468,1,13,33.752399127572
256,-14.01803,-16.84744,1,13,21.9166917671974
257,-5.35717,-17.14994,1,13,17.9671841090504
260,-23.98248,20.40038,1,13,31.4854713575241
