node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,layer,cus_set
194,depot,-0.69396,4.05902,0.0,0.0,0.0,78.95777711738062,0.0,0,0,0.0,1256.750641666591,0.0,0.0,2,Int64[]
322,dummy charger,0.0,0.0,83.91912047548124,83.91912047548124,0.0,85.88044657691206,0.0,0,0,83.91912047548124,1256.750641666591,1.9613261014308279,1256.750641666591,0,Int64[]
133,bus stop,9.9563,-34.46663,129.10436022499132,179.6641295278811,0.0,180.1641295278811,64.8358704721189,1,1,179.6641295278811,216.27608635192075,0.5,64.8358704721189,1,[267]
134,bus stop,11.3563,-34.46663,181.8508765158329,181.8508765158329,0.0,182.3508765158329,62.64912348416709,2,1,178.91690682554824,215.77793788369883,0.5,65.58309317445176,1,[310]
119,bus stop,5.7563,-37.26663,189.89423836763942,189.89423836763942,0.0,190.39423836763942,54.60576163236058,3,1,176.35197114905873,214.06798076603914,0.5,68.14802885094129,1,[259]
93,bus stop,-1.2437,-27.46663,204.9041846012053,211.37376723050497,0.0,211.87376723050497,33.12623276949503,4,1,194.81065084575746,226.37376723050497,0.5,49.689349154242535,1,[250]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,49.689349154242535,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,68.14802885094129,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,65.58309317445176,1,Int64[]
192,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,64.8358704721189,1,Int64[]
194,depot,-0.69396,4.05902,249.9613433581006,249.9613433581006,0.0,249.9613433581006,0.0,0,0,0.0,1256.750641666591,0.0,0.0,2,Int64[]
