passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime
1,4.71175,-2.74706,1,6
2,5.72877,0.04143,1,9
3,-2.48569,0.5976,1,3
4,-5.11365,2.63193,1,5
5,-4.71145,1.18082,1,3
6,0.2974,-2.33528,1,10
7,-1.50102,3.06533,1,12
8,0.98539,-4.44255,1,5
9,-5.78432,1.05238,1,9
10,5.75209,1.31472,1,4
11,1.23556,2.45822,1,7
12,-1.04442,-5.8238,1,11
13,-5.79692,0.97476,1,8
14,2.47705,3.53492,1,5
15,-2.93059,4.54655,1,4
16,-2.07167,-1.65736,1,6
17,1.45314,3.79115,1,6
18,-0.41834,-5.74291,1,5
19,0.24181,5.37852,1,8
20,5.11048,-2.91819,1,10
21,-0.58997,4.90237,1,6
22,0.18074,-1.85003,1,6
23,2.08997,5.15171,1,2
24,-1.35658,5.65084,1,1
25,4.216,2.71711,1,4
26,-4.68157,-2.43036,1,5
27,-2.12547,-4.7763,1,9
28,-3.768,-1.13573,1,13
29,-2.63751,1.99851,1,13
30,-1.74437,-2.23265,1,6
31,-3.06319,-4.08607,1,4
32,-0.78649,-1.64493,1,10
33,-2.23932,-2.56546,1,10
34,1.83683,-0.65903,1,10
35,0.59995,2.27338,1,10
36,-1.38702,-5.30263,1,2
37,0.43805,5.0506,1,9
38,2.63281,2.45365,1,7
39,-4.57653,-3.65724,1,3
40,-1.75739,0.56933,1,2
41,-3.99198,1.05911,1,11
42,-2.04377,-3.30917,1,3
43,0.67365,-5.25665,1,3
44,-3.17609,4.35895,1,9
45,-1.5361,-2.48944,1,12
46,-3.74602,2.17874,1,7
47,2.27033,-3.48341,1,10
48,2.44158,-4.25462,1,2
49,-0.20706,5.11353,1,13
50,-3.98286,-3.44348,1,8
51,-2.95675,-1.68033,1,9
52,-4.85543,-1.27073,1,1
53,3.37728,-3.59911,1,11
54,-0.25794,2.76977,1,10
55,-1.03834,2.27772,1,2
56,3.19804,2.9736,1,7
57,5.47005,-2.17253,1,5
58,-2.26156,-2.93656,1,8
59,-4.65172,0.60359,1,6
60,-2.00616,-2.40395,1,6
61,-5.04806,-1.45684,1,3
62,-1.98173,-2.63291,1,4
63,-4.23007,-1.1969,1,1
64,-0.91973,-4.99979,1,13
65,-5.6282,-0.80084,1,9
66,5.87979,-0.2327,1,13
67,0.89006,4.46389,1,3
68,2.07174,1.62372,1,12
69,2.08346,1.71693,1,11
70,-0.87666,-1.99469,1,8
71,-4.56877,3.12259,1,6
72,-3.11956,1.04898,1,4
73,-3.62687,4.0716,1,10
74,0.27422,-3.22394,1,3
75,-4.02427,-4.17347,1,1
76,0.51625,-3.71422,1,10
77,2.71942,-1.2206,1,9
78,3.22685,-0.55814,1,10
79,1.71003,4.48523,1,9
80,2.7443,3.26991,1,6
81,-1.24463,-3.54534,1,6
82,4.57479,3.05969,1,11
83,-4.63107,-0.74556,1,5
84,-4.4784,-0.86434,1,11
85,3.7048,-4.41359,1,11
86,-3.4336,0.32776,1,12
87,-4.13502,3.27217,1,7
88,-2.49341,-4.63371,1,9
89,-0.21327,-3.87873,1,13
90,-4.59084,-0.5815,1,6
91,-1.26349,1.79267,1,1
92,1.18596,1.63227,1,12
93,-3.84937,-2.31231,1,9
94,-0.40733,5.32738,1,5
95,5.58622,1.60219,1,13
96,0.07983,-2.57448,1,3
97,0.20986,4.62642,1,9
98,-3.97795,1.50593,1,8
99,-0.62036,-1.5056,1,6
100,-2.33929,2.8558,1,2
101,-0.23824,-2.76892,1,1
102,-4.25322,3.31168,1,6
103,3.95565,-0.42828,1,3
104,-1.27617,-4.29644,1,10
105,-2.61814,0.99297,1,5
106,4.71457,0.58288,1,11
107,-1.6226,2.91418,1,10
108,-4.38474,2.25815,1,8
109,-0.64155,5.00993,1,3
110,1.71254,4.95654,1,13
111,1.81969,-3.76092,1,4
112,-2.0387,0.96057,1,13
113,2.40545,-2.04738,1,3
114,-4.45842,3.63285,1,5
115,0.32576,-2.69938,1,2
116,-4.37419,3.31478,1,9
117,1.62416,-4.21677,1,3
118,0.19102,-5.98607,1,1
119,-1.58675,1.53969,1,10
120,0.87853,4.05198,1,5
121,0.60747,-2.34105,1,9
122,5.59548,-1.84518,1,5
123,-0.72644,1.37065,1,9
124,-2.53031,-4.6905,1,1
125,-5.06118,2.05388,1,12
126,2.8144,-4.86288,1,11
127,0.2669,-2.24243,1,10
128,1.97117,3.44342,1,11
129,2.14774,-2.53137,1,5
130,5.39759,-0.34394,1,9
131,-4.0832,-0.37106,1,8
132,4.29084,-3.81747,1,7
133,-2.46431,-1.52136,1,4
134,1.88146,2.75925,1,4
135,0.82918,2.54448,1,6
136,-2.18136,1.4436,1,3
137,-0.04571,-5.62019,1,11
138,2.13568,-4.15378,1,13
139,1.13339,-4.41851,1,1
140,-1.11542,2.42859,1,7
141,-5.44421,-1.18336,1,2
142,4.07151,2.58209,1,11
143,2.86691,2.42393,1,13
144,2.89863,3.34218,1,1
145,-1.72343,-3.58341,1,13
146,-2.19305,0.06648,1,1
147,1.18959,2.98865,1,9
148,-2.53095,0.07945,1,11
149,1.74448,2.32673,1,7
150,3.02689,1.08919,1,12
151,2.39008,-3.25888,1,12
152,-1.83966,-0.73586,1,9
153,5.16947,-2.4481,1,2
154,-1.92143,-5.51767,1,3
155,-3.76403,-2.15609,1,3
156,1.73018,-3.97099,1,1
157,2.67733,-2.54558,1,2
158,5.69813,-0.39763,1,9
159,3.83561,0.01259,1,13
160,1.62535,-1.83339,1,5
161,-4.06395,-3.47388,1,6
162,3.91693,-0.24766,1,13
163,-3.17733,-0.55824,1,13
164,-3.95229,0.51132,1,9
165,0.74393,-2.22529,1,13
166,0.3593,2.56418,1,10
167,-5.83432,0.06986,1,5
168,4.77167,-3.42792,1,9
169,-4.15157,-2.10421,1,4
170,1.16307,-1.70729,1,4
171,-0.22747,-3.18152,1,9
172,-3.22805,-1.93618,1,7
173,0.11231,5.4729,1,6
174,-0.83441,-1.44001,1,8
175,1.66539,0.9636,1,10
176,-1.98211,-2.00616,1,8
177,-2.60894,-4.16546,1,8
178,-0.65862,-5.14897,1,8
179,3.79823,-3.11205,1,7
180,4.15374,-0.46378,1,2
181,0.54284,-4.5185,1,10
182,-3.05173,-1.714,1,13
183,4.711,-2.27813,1,5
184,-2.5731,-1.41648,1,13
185,5.014,0.53707,1,5
186,2.10744,2.00055,1,12
187,2.49272,-2.91079,1,6
188,-4.81019,0.47616,1,6
189,3.00104,-4.42452,1,3
190,0.5635,2.16112,1,2
191,-5.48786,-1.87088,1,5
192,-3.65286,-3.88419,1,10
193,4.23493,0.8629,1,11
194,-3.09407,-2.7179,1,10
195,-2.70176,3.16693,1,1
196,3.37769,1.08652,1,11
197,-4.39647,0.28853,1,12
198,1.56017,4.1297,1,11
199,3.90919,3.81617,1,1
200,1.48828,5.18272,1,5
201,2.96537,3.89901,1,10
202,1.44806,3.596,1,10
203,5.25,1.44164,1,3
204,-2.97045,-3.37777,1,4
205,-0.74649,3.67829,1,9
206,-5.65544,-1.39904,1,7
207,-1.90515,-5.30881,1,9
208,-4.56258,0.02534,1,4
209,-4.70121,-1.07572,1,3
210,-4.42124,1.586,1,11
211,2.16628,2.13741,1,10
212,-3.51732,0.21336,1,13
213,2.56816,-3.39827,1,2
214,2.22416,-2.25435,1,3
215,-0.70513,5.49984,1,2
216,0.76649,2.86981,1,7
217,-2.88414,-1.24764,1,3
218,-1.79991,-2.18442,1,12
219,-2.7331,1.56967,1,2
220,1.12452,3.9611,1,1
221,3.3813,-1.14741,1,8
222,5.02881,2.85046,1,11
223,3.22451,2.52429,1,5
224,1.82809,2.2684,1,3
225,2.86954,4.95535,1,5
226,-4.30751,-4.09413,1,3
227,-3.69547,-1.84536,1,7
228,2.31958,0.7873,1,12
229,3.00602,-1.38691,1,9
230,-0.53542,-3.96959,1,2
231,-0.36062,-4.71144,1,6
232,3.07071,1.29243,1,1
233,3.04013,-3.65425,1,7
234,4.69477,-2.05248,1,6
235,3.10495,-0.30535,1,13
236,1.57598,-1.9311,1,11
237,0.7759,-3.41479,1,7
238,-3.59403,-0.3028,1,12
239,1.78824,3.6562,1,2
240,-3.53937,2.61974,1,6
241,1.51012,1.68988,1,13
242,3.2704,0.64283,1,12
243,5.02066,-2.01921,1,10
244,-0.56992,1.70627,1,9
245,-1.63582,5.56084,1,5
246,-2.58198,4.498,1,13
247,-4.23669,0.88937,1,2
248,-2.78539,-3.7439,1,10
249,3.16271,0.50557,1,9
250,2.30568,-3.5242,1,11
251,-5.49438,-2.13684,1,6
252,2.7685,-3.61111,1,10
253,-2.56976,3.63795,1,11
254,-2.99205,1.05545,1,5
255,4.08113,1.4473,1,8
256,2.13482,4.33065,1,13
257,-2.61312,-4.28281,1,8
258,-1.92069,3.45103,1,5
259,3.0751,-2.2792,1,9
260,4.39615,4.03339,1,5
261,1.87218,-0.13648,1,10
262,-5.48993,-1.40892,1,6
263,-1.53782,-5.54153,1,7
264,5.39638,-0.01724,1,10
265,-0.55656,2.29604,1,13
266,-2.86108,1.70364,1,5
267,-3.594,0.80715,1,11
268,0.43958,-4.99976,1,10
269,1.08827,-2.38209,1,13
270,4.16762,3.03683,1,1
271,1.05593,2.17674,1,5
272,-3.13438,3.80657,1,9
273,4.07745,1.5175,1,4
274,-5.29213,-0.73235,1,3
