busType,maxPax,maxKWH,minSOC,maxSOC,SOC,consumption
1,10,35.8,10,80,20,0.24
1,10,35.8,10,80,24,0.24
1,10,35.8,10,80,28,0.24
1,10,35.8,10,80,32,0.24
1,10,35.8,10,80,36,0.24
1,10,35.8,10,80,40,0.24
1,10,35.8,10,80,44,0.24
1,10,35.8,10,80,48,0.24
1,10,35.8,10,80,52,0.24
1,10,35.8,10,80,56,0.24
1,10,35.8,10,80,60,0.24
1,10,35.8,10,80,64,0.24
1,10,35.8,10,80,68,0.24
1,10,35.8,10,80,72,0.24
1,10,35.8,10,80,76,0.24
1,10,35.8,10,80,80,0.24
2,20,53.7,10,80,20,0.29
2,20,53.7,10,80,28.5714285714286,0.29
2,20,53.7,10,80,37.1428571428571,0.29
2,20,53.7,10,80,45.7142857142857,0.29
2,20,53.7,10,80,54.2857142857143,0.29
2,20,53.7,10,80,62.8571428571429,0.29
2,20,53.7,10,80,71.4285714285714,0.29
2,20,53.7,10,80,80,0.29
